antecedents,consequents,support,confidence,lift
Organic Hass Avocado,Corn Tortillas,0.013273333333333333,0.3554722371005178,3.9748656725988796
Corn Tortillas,Organic Hass Avocado,0.013273333333333333,0.14842148421484216,3.9748656725988796
Organic Medium Salsa,Corn Tortillas,0.013273333333333333,0.33476250525430856,3.965284146416574
Corn Tortillas,Organic Medium Salsa,0.013273333333333333,0.15722351640541712,3.9652841464165736
Organic Medium Salsa,Corn Tortillas,0.013936666666666667,0.3514922236233712,3.930361440493919
Corn Tortillas,Organic Medium Salsa,0.013936666666666667,0.1558388311155839,3.930361440493919
Organic Whole String Cheese,Sharp Cheddar Cheese,0.010243333333333333,0.1553825150427264,3.412000769493334
Sharp Cheddar Cheese,Organic Whole String Cheese,0.010243333333333333,0.22493046406089887,3.4120007694933334
Organic Hass Avocado,Organic Whole String Cheese,0.010243333333333333,0.22991171629507706,3.384372663813696
Organic Whole String Cheese,Organic Hass Avocado,0.010243333333333333,0.15078508341511287,3.384372663813696
Organic Whole String Cheese,Organic Strawberries,0.010243333333333333,0.13632935539683244,3.365879896226626
Organic Strawberries,Organic Whole String Cheese,0.010243333333333333,0.25290099580281455,3.3658798962266254
Organic Whole String Cheese,Organic Strawberries,0.010243333333333333,0.1400191370118923,3.3653053279576746
Organic Strawberries,Organic Whole String Cheese,0.010243333333333333,0.2461945201089569,3.365305327957674
Sharp Cheddar Cheese,Organic Whole String Cheese,0.010326666666666666,0.22676035719513982,3.337983668230714
Organic Whole String Cheese,Sharp Cheddar Cheese,0.010326666666666666,0.1520117762512267,3.337983668230714
Organic Whole String Cheese,Organic Strawberries,0.010326666666666666,0.13743844549931236,3.3032794143401465
Organic Strawberries,Organic Whole String Cheese,0.010326666666666666,0.24819740426213746,3.303279414340146
Organic Blueberries,Organic Strawberries,0.013796666666666667,0.22790595231540114,3.20964161555818
Organic Strawberries,Organic Blueberries,0.013796666666666667,0.194301004600507,3.2096416155581795
Organic Strawberries,Organic Raspberries,0.010313333333333334,0.1452445779738992,3.190085174036881
Organic Raspberries,Organic Strawberries,0.010313333333333334,0.2265173145911121,3.1900851740368807
Organic Strawberries,Organic Blueberries,0.013796666666666667,0.18597232207045292,3.188096949779193
Organic Blueberries,Organic Strawberries,0.013796666666666667,0.23651428571428573,3.188096949779193
Organic Raspberries,Organic Strawberries,0.010313333333333334,0.23393316195372751,3.153304663287125
Organic Strawberries,Organic Raspberries,0.010313333333333334,0.13901869158878505,3.1533046632871247
Organic Strawberries,Organic Blueberries,0.01409,0.18992631200575127,3.1373764441234173
Organic Blueberries,Organic Strawberries,0.01409,0.2327515004680359,3.137376444123417
Organic Raspberries,Organic Strawberries,0.010526666666666667,0.2312028699026283,3.1165016611605183
Organic Strawberries,Organic Raspberries,0.010526666666666667,0.1418943206326384,3.1165016611605183
Organic Blueberries,Organic Strawberries,0.013796666666666667,0.30456217807211183,3.021450179286824
Organic Strawberries,Organic Blueberries,0.013796666666666667,0.13687169312169312,3.021450179286824
Organic Strawberries,Organic Blueberries,0.011373333333333333,0.11670942363605268,3.0064251323042934
Organic Blueberries,Organic Strawberries,0.011373333333333333,0.2929761291430534,3.0064251323042934
Organic Raspberries,Organic Strawberries,0.010313333333333334,0.30155945419103314,2.99166125189517
Organic Strawberries,Organic Raspberries,0.010313333333333334,0.10231481481481482,2.99166125189517
Organic Strawberries,Organic Blueberries,0.011373333333333333,0.11283068783068782,2.9896843622333815
Organic Blueberries,Organic Strawberries,0.011373333333333333,0.30136018371312484,2.9896843622333815
Organic Strawberries,Organic Blueberries,0.013796666666666667,0.14157687703095606,2.9745124384961703
Organic Blueberries,Organic Strawberries,0.013796666666666667,0.28986623713145176,2.9745124384961703
Organic Raspberries,Organic Strawberries,0.010313333333333334,0.28859248204458543,2.9614415807551095
Organic Strawberries,Organic Raspberries,0.010313333333333334,0.10583205062425177,2.9614415807551095
Organic Strawberries,Organic Whole String Cheese,0.010136666666666667,0.22111539300516253,2.942842726655816
Organic Whole String Cheese,Organic Strawberries,0.010136666666666667,0.13490972006565813,2.942842726655816
Organic Strawberries,Organic Blueberries,0.011493333333333333,0.11402116402116401,2.937175786222669
Organic Blueberries,Organic Strawberries,0.011493333333333333,0.296067319251245,2.9371757862226686
Organic Strawberries,Organic Blueberries,0.01409,0.13978174603174603,2.9367969612384486
Organic Blueberries,Organic Strawberries,0.01409,0.2960291336928356,2.9367969612384486
Organic Strawberries,Organic Whole String Cheese,0.010136666666666667,0.2147902246079955,2.936030773335702
Organic Whole String Cheese,Organic Strawberries,0.010136666666666667,0.13856107896295622,2.936030773335702
Organic Raspberries,Total 0% Nonfat Greek Yogurt,0.010313333333333334,0.23137900089739757,2.927119012786509
Total 0% Nonfat Greek Yogurt,Organic Raspberries,0.010313333333333334,0.13047145146327066,2.927119012786509
Organic Strawberries,Organic Raspberries,0.010526666666666667,0.10443121693121693,2.9222428019182054
